age,education,gender,hours,interaction,isolation,socialconnections,socialmedia,substitution,support,urbanity,isolation_number,hours_category
25-34,graduatedegree,male,1,little,little,neutral,rarely,rarely,little,urban,1,<1
35-44,graduatedegree,male,2,little,little,neutral,occasionally,occasionally,some,urban,1,1-2
35-44,graduatedegree,male,4,most,most,neutral,frequently,frequently,most,rural,3,3-4
55-64,collegedegree,male,1,some,most,positive,frequently,occasionally,all,urban,3,<1
18-24,graduatedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
25-34,collegedegree,male,5,most,most,neutral,frequently,frequently,most,urban,3,5+
35-44,collegedegree,male,2,little,none,positive,frequently,never,little,suburban,0,1-2
25-34,collegedegree,female,4,most,some,positive,frequently,frequently,most,urban,2,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
18-24,graduatedegree,male,2,some,some,neutral,veryfrequently,frequently,some,urban,2,1-2
45-54,graduatedegree,male,2,little,some,neutral,occasionally,occasionally,some,rural,2,1-2
25-34,collegedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
25-34,somecollege,male,4,some,most,positive,occasionally,occasionally,some,urban,3,3-4
25-34,collegedegree,male,5,little,none,positive,veryfrequently,rarely,little,suburban,0,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,somecollege,male,1,little,little,negative,occasionally,rarely,little,suburban,1,<1
25-34,collegedegree,female,5,some,most,neutral,veryfrequently,occasionally,some,urban,3,5+
55-64,highschool,female,5,some,none,negative,veryfrequently,rarely,little,suburban,0,5+
45-54,graduatedegree,female,2,some,most,positive,occasionally,frequently,most,urban,3,1-2
25-34,collegedegree,male,1,most,all,negative,frequently,occasionally,most,suburban,4,<1
45-54,graduatedegree,female,4,some,some,positive,frequently,frequently,most,urban,2,3-4
18-24,graduatedegree,male,5,most,some,positive,frequently,frequently,most,urban,2,5+
45-54,collegedegree,male,1,little,little,neutral,frequently,occasionally,little,suburban,1,<1
25-34,collegedegree,male,2,some,some,neutral,frequently,rarely,little,suburban,2,1-2
18-24,graduatedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
35-44,graduatedegree,female,2,some,little,neutral,frequently,rarely,little,rural,1,1-2
25-34,collegedegree,female,4,most,most,positive,frequently,occasionally,most,urban,3,3-4
18-24,collegedegree,female,4,most,some,positive,frequently,occasionally,most,urban,2,3-4
45-54,graduatedegree,female,2,some,some,neutral,frequently,occasionally,little,urban,2,1-2
45-54,collegedegree,female,2,most,most,positive,frequently,frequently,some,urban,3,1-2
25-34,graduatedegree,male,2,some,little,neutral,veryfrequently,occasionally,little,urban,1,1-2
55-64,collegedegree,male,4,some,little,neutral,frequently,occasionally,some,urban,1,3-4
25-34,collegedegree,female,4,most,some,positive,frequently,frequently,most,urban,2,3-4
18-24,collegedegree,male,1,little,little,positive,rarely,rarely,little,rural,1,<1
55-64,collegedegree,male,1,some,none,positive,veryfrequently,rarely,some,suburban,0,<1
55-64,graduatedegree,male,4,some,some,positive,frequently,frequently,some,rural,2,3-4
55-64,somecollege,male,4,some,some,positive,veryfrequently,occasionally,some,rural,2,3-4
35-44,graduatedegree,male,1,some,none,neutral,frequently,occasionally,little,urban,0,<1
45-54,highschool,male,2,little,none,neutral,veryfrequently,never,none,urban,0,1-2
25-34,collegedegree,male,5,all,all,neutral,veryfrequently,veryfrequently,most,suburban,4,5+
35-44,graduatedegree,female,4,little,some,neutral,occasionally,occasionally,some,rural,2,3-4
25-34,graduatedegree,male,5,most,most,neutral,frequently,occasionally,most,rural,3,5+
35-44,collegedegree,male,4,little,little,negative,veryfrequently,never,none,urban,1,3-4
25-34,graduatedegree,male,4,most,none,positive,frequently,occasionally,most,urban,0,3-4
25-34,graduatedegree,female,5,most,some,neutral,frequently,frequently,most,urban,2,5+
18-24,somecollege,male,4,little,some,positive,occasionally,rarely,little,urban,2,3-4
18-24,graduatedegree,female,2,most,most,positive,veryfrequently,never,some,rural,3,1-2
25-34,highschool,male,4,some,little,neutral,frequently,rarely,some,urban,1,3-4
55-64,graduatedegree,female,2,little,some,positive,occasionally,occasionally,some,urban,2,1-2
25-34,graduatedegree,male,2,most,none,positive,frequently,rarely,most,rural,0,1-2
18-24,graduatedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
35-44,somecollege,male,1,little,little,neutral,occasionally,rarely,little,rural,1,<1
18-24,graduatedegree,female,2,all,most,neutral,frequently,occasionally,most,urban,3,1-2
25-34,graduatedegree,male,4,most,most,neutral,frequently,frequently,most,suburban,3,3-4
25-34,collegedegree,male,2,little,some,negative,occasionally,occasionally,little,urban,2,1-2
35-44,graduatedegree,male,2,all,some,positive,rarely,veryfrequently,most,rural,2,1-2
25-34,graduatedegree,male,2,some,some,positive,frequently,frequently,some,urban,2,1-2
18-24,graduatedegree,female,4,most,some,positive,veryfrequently,occasionally,most,urban,2,3-4
25-34,graduatedegree,male,2,most,some,positive,occasionally,frequently,some,urban,2,1-2
45-54,somecollege,female,2,little,none,neutral,occasionally,never,little,suburban,0,1-2
35-44,graduatedegree,male,1,little,none,neutral,occasionally,never,little,suburban,0,<1
25-34,collegedegree,female,5,all,all,neutral,frequently,frequently,all,urban,4,5+
35-44,collegedegree,male,4,most,most,positive,frequently,frequently,most,urban,3,3-4
55-64,graduatedegree,female,4,most,most,positive,veryfrequently,occasionally,some,urban,3,3-4
25-34,graduatedegree,female,5,most,most,positive,veryfrequently,veryfrequently,some,suburban,3,5+
25-34,graduatedegree,male,4,most,most,negative,frequently,frequently,some,suburban,3,3-4
18-24,graduatedegree,female,4,some,all,positive,frequently,frequently,most,rural,4,3-4
55-64,graduatedegree,male,2,most,most,neutral,veryfrequently,frequently,most,urban,3,1-2
25-34,collegedegree,female,2,little,little,positive,frequently,frequently,some,urban,1,1-2
35-44,graduatedegree,female,2,little,little,neutral,veryfrequently,occasionally,little,rural,1,1-2
65+,somecollege,female,2,some,none,neutral,veryfrequently,occasionally,some,suburban,0,1-2
25-34,somecollege,female,5,most,some,positive,veryfrequently,veryfrequently,some,urban,2,5+
25-34,graduatedegree,female,4,some,most,positive,frequently,occasionally,little,urban,3,3-4
35-44,somecollege,male,2,little,some,positive,rarely,rarely,little,rural,2,1-2
25-34,graduatedegree,male,1,none,some,neutral,frequently,occasionally,none,urban,2,<1
18-24,collegedegree,female,4,most,most,positive,occasionally,occasionally,most,urban,3,3-4
18-24,graduatedegree,male,5,most,some,positive,frequently,occasionally,most,urban,2,5+
25-34,graduatedegree,male,2,little,some,neutral,veryfrequently,frequently,little,rural,2,1-2
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
25-34,graduatedegree,male,4,some,little,positive,veryfrequently,occasionally,little,urban,1,3-4
45-54,highschool,male,5,most,all,positive,veryfrequently,frequently,some,urban,4,5+
25-34,collegedegree,male,2,some,most,neutral,occasionally,occasionally,some,rural,3,1-2
45-54,graduatedegree,female,4,most,all,positive,frequently,frequently,most,urban,4,3-4
25-34,graduatedegree,male,4,some,little,neutral,veryfrequently,occasionally,little,suburban,1,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
25-34,graduatedegree,male,2,some,none,positive,frequently,frequently,little,urban,0,1-2
25-34,collegedegree,female,2,little,most,positive,frequently,frequently,some,urban,3,1-2
25-34,collegedegree,male,2,some,some,positive,frequently,frequently,most,urban,2,1-2
18-24,graduatedegree,female,4,most,all,positive,frequently,frequently,most,urban,4,3-4
35-44,collegedegree,female,1,none,some,negative,occasionally,rarely,none,urban,2,<1
25-34,collegedegree,male,4,most,most,positive,veryfrequently,frequently,most,urban,3,3-4
25-34,graduatedegree,female,5,most,little,positive,veryfrequently,frequently,most,urban,1,5+
25-34,somecollege,female,1,little,none,neutral,occasionally,never,little,urban,0,<1
45-54,somecollege,male,2,most,little,positive,frequently,occasionally,most,suburban,1,1-2
55-64,graduatedegree,female,4,some,some,neutral,rarely,occasionally,some,urban,2,3-4
25-34,collegedegree,male,4,most,all,positive,veryfrequently,frequently,all,urban,4,3-4
35-44,graduatedegree,male,5,most,little,neutral,veryfrequently,frequently,all,urban,1,5+
25-34,collegedegree,male,4,most,most,positive,frequently,occasionally,most,urban,3,3-4
35-44,graduatedegree,male,2,all,all,positive,veryfrequently,veryfrequently,most,rural,4,1-2
25-34,graduatedegree,female,4,most,most,neutral,frequently,frequently,little,urban,3,3-4
55-64,highschool,female,5,some,some,neutral,frequently,never,little,rural,2,5+
25-34,highschool,male,1,some,some,neutral,frequently,rarely,some,rural,2,<1
18-24,collegedegree,female,5,most,some,positive,frequently,occasionally,most,urban,2,5+
25-34,collegedegree,female,4,most,most,positive,frequently,frequently,most,rural,3,3-4
45-54,highschool,female,2,all,most,negative,frequently,frequently,little,suburban,3,1-2
35-44,somecollege,female,2,none,little,neutral,frequently,rarely,none,rural,1,1-2
35-44,collegedegree,male,5,most,some,neutral,veryfrequently,veryfrequently,all,urban,2,5+
25-34,graduatedegree,female,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
35-44,collegedegree,male,4,little,some,neutral,frequently,occasionally,little,suburban,2,3-4
25-34,graduatedegree,female,2,little,most,neutral,occasionally,rarely,little,rural,3,1-2
25-34,collegedegree,male,2,some,little,neutral,rarely,occasionally,some,urban,1,1-2
25-34,graduatedegree,female,2,most,most,positive,frequently,frequently,some,urban,3,1-2
65+,somecollege,male,1,some,little,positive,occasionally,occasionally,some,urban,1,<1
25-34,graduatedegree,male,4,little,little,positive,never,rarely,little,urban,1,3-4
25-34,collegedegree,female,5,some,some,positive,frequently,occasionally,some,urban,2,5+
35-44,graduatedegree,female,4,most,some,neutral,frequently,frequently,all,urban,2,3-4
25-34,collegedegree,male,4,all,most,positive,frequently,veryfrequently,all,urban,3,3-4
25-34,collegedegree,male,2,some,some,neutral,veryfrequently,occasionally,little,urban,2,1-2
55-64,collegedegree,male,2,some,little,neutral,frequently,occasionally,little,suburban,1,1-2
25-34,graduatedegree,female,4,some,some,neutral,veryfrequently,frequently,little,urban,2,3-4
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
35-44,graduatedegree,female,2,some,most,positive,frequently,occasionally,most,urban,3,1-2
18-24,collegedegree,female,5,most,some,positive,frequently,occasionally,most,urban,2,5+
35-44,graduatedegree,male,5,most,none,neutral,veryfrequently,rarely,most,urban,0,5+
65+,collegedegree,female,2,some,little,positive,frequently,occasionally,some,rural,1,1-2
25-34,graduatedegree,female,1,none,most,positive,never,never,none,rural,3,<1
25-34,collegedegree,female,5,most,most,positive,frequently,occasionally,most,urban,3,5+
35-44,graduatedegree,female,4,most,most,neutral,frequently,occasionally,most,urban,3,3-4
45-54,somecollege,female,4,some,none,neutral,frequently,occasionally,some,rural,0,3-4
35-44,collegedegree,female,4,all,some,neutral,veryfrequently,frequently,most,suburban,2,3-4
35-44,somecollege,male,2,some,none,positive,veryfrequently,occasionally,some,urban,0,1-2
25-34,graduatedegree,male,2,little,most,positive,occasionally,occasionally,some,urban,3,1-2
45-54,highschool,female,1,little,none,positive,frequently,occasionally,little,urban,0,<1
55-64,highschool,female,4,some,none,neutral,veryfrequently,never,some,suburban,0,3-4
45-54,collegedegree,male,4,most,most,positive,frequently,occasionally,most,urban,3,3-4
25-34,collegedegree,male,4,little,most,neutral,occasionally,never,none,urban,3,3-4
25-34,collegedegree,female,4,most,most,positive,frequently,frequently,most,rural,3,3-4
25-34,graduatedegree,male,5,most,most,positive,veryfrequently,occasionally,most,urban,3,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
45-54,graduatedegree,female,2,little,none,neutral,veryfrequently,never,none,suburban,0,1-2
55-64,graduatedegree,male,4,most,some,positive,veryfrequently,occasionally,most,urban,2,3-4
35-44,graduatedegree,female,2,little,none,neutral,occasionally,rarely,none,suburban,0,1-2
35-44,collegedegree,male,2,most,most,neutral,veryfrequently,occasionally,most,urban,3,1-2
25-34,graduatedegree,male,2,some,some,positive,occasionally,occasionally,some,suburban,2,1-2
35-44,somecollege,male,2,some,none,neutral,frequently,never,some,suburban,0,1-2
65+,highschool,female,5,most,none,positive,veryfrequently,never,little,suburban,0,5+
25-34,highschool,female,2,little,none,neutral,frequently,never,little,rural,0,1-2
45-54,graduatedegree,male,2,some,some,neutral,occasionally,occasionally,some,urban,2,1-2
35-44,graduatedegree,male,1,some,little,negative,occasionally,rarely,none,urban,1,<1
35-44,graduatedegree,female,4,some,some,positive,frequently,occasionally,some,urban,2,3-4
65+,collegedegree,female,4,some,none,positive,frequently,frequently,some,suburban,0,3-4
45-54,graduatedegree,male,2,little,none,positive,frequently,rarely,little,urban,0,1-2
45-54,graduatedegree,female,2,little,some,neutral,occasionally,occasionally,little,urban,2,1-2
25-34,collegedegree,male,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
25-34,collegedegree,male,1,little,none,neutral,occasionally,rarely,little,suburban,0,<1
25-34,graduatedegree,female,4,most,some,neutral,frequently,frequently,most,urban,2,3-4
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,most,urban,3,5+
25-34,collegedegree,male,2,little,none,neutral,veryfrequently,never,little,urban,0,1-2
25-34,somecollege,male,5,all,most,neutral,frequently,frequently,all,suburban,3,5+
35-44,collegedegree,male,4,some,most,positive,occasionally,frequently,most,rural,3,3-4
25-34,collegedegree,female,4,most,most,positive,frequently,veryfrequently,most,rural,3,3-4
25-34,graduatedegree,female,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
25-34,collegedegree,male,2,little,some,neutral,frequently,rarely,little,urban,2,1-2
25-34,highschool,male,1,little,little,neutral,occasionally,rarely,little,rural,1,<1
35-44,collegedegree,female,1,some,none,neutral,occasionally,occasionally,little,urban,0,<1
35-44,graduatedegree,female,1,some,none,neutral,occasionally,frequently,little,suburban,0,<1
18-24,graduatedegree,female,1,some,some,neutral,frequently,occasionally,little,urban,2,<1
45-54,somecollege,female,1,little,none,neutral,frequently,never,none,suburban,0,<1
25-34,collegedegree,male,2,some,some,neutral,occasionally,occasionally,little,rural,2,1-2
35-44,collegedegree,male,4,some,little,positive,veryfrequently,never,some,suburban,1,3-4
25-34,highschool,male,4,little,none,positive,frequently,occasionally,little,urban,0,3-4
25-34,collegedegree,male,5,most,most,neutral,frequently,occasionally,most,rural,3,5+
25-34,collegedegree,male,4,little,little,positive,occasionally,rarely,little,rural,1,3-4
25-34,graduatedegree,male,2,some,some,positive,frequently,frequently,some,urban,2,1-2
45-54,somecollege,female,4,most,none,positive,veryfrequently,occasionally,most,suburban,0,3-4
45-54,collegedegree,male,5,some,some,neutral,veryfrequently,occasionally,some,rural,2,5+
25-34,graduatedegree,female,1,some,some,positive,never,never,some,urban,2,<1
45-54,graduatedegree,male,1,little,little,negative,frequently,occasionally,little,suburban,1,<1
35-44,collegedegree,male,2,most,some,positive,frequently,frequently,some,urban,2,1-2
35-44,graduatedegree,female,2,most,most,positive,veryfrequently,rarely,some,rural,3,1-2
25-34,collegedegree,female,1,little,some,neutral,frequently,occasionally,most,rural,2,<1
25-34,collegedegree,female,5,most,most,positive,frequently,occasionally,most,urban,3,5+
25-34,graduatedegree,female,2,some,some,neutral,frequently,occasionally,most,rural,2,1-2
45-54,graduatedegree,male,2,most,most,neutral,frequently,occasionally,some,urban,3,1-2
25-34,collegedegree,female,5,most,some,neutral,veryfrequently,occasionally,little,urban,2,5+
25-34,graduatedegree,female,2,most,some,positive,frequently,frequently,some,urban,2,1-2
25-34,collegedegree,female,2,some,little,positive,occasionally,occasionally,little,urban,1,1-2
18-24,collegedegree,female,4,most,most,positive,occasionally,occasionally,most,urban,3,3-4
25-34,collegedegree,female,2,some,some,positive,frequently,frequently,little,urban,2,1-2
35-44,somecollege,male,2,little,none,positive,frequently,never,little,rural,0,1-2
35-44,collegedegree,female,2,some,some,neutral,frequently,occasionally,little,urban,2,1-2
45-54,collegedegree,male,2,some,little,neutral,frequently,rarely,some,rural,1,1-2
35-44,graduatedegree,male,1,most,most,positive,frequently,occasionally,some,urban,3,<1
55-64,collegedegree,male,1,some,little,positive,frequently,occasionally,some,suburban,1,<1
18-24,graduatedegree,female,5,most,most,positive,veryfrequently,frequently,most,rural,3,5+
35-44,collegedegree,male,2,some,some,negative,frequently,frequently,none,urban,2,1-2
55-64,graduatedegree,male,4,most,some,neutral,frequently,rarely,most,urban,2,3-4
25-34,collegedegree,female,2,some,little,positive,frequently,frequently,most,rural,1,1-2
25-34,graduatedegree,female,5,most,most,positive,veryfrequently,veryfrequently,some,suburban,3,5+
35-44,highschool,female,4,most,little,neutral,veryfrequently,occasionally,some,urban,1,3-4
25-34,graduatedegree,female,1,some,some,positive,never,never,little,urban,2,<1
45-54,graduatedegree,female,4,some,some,positive,occasionally,occasionally,some,urban,2,3-4
35-44,collegedegree,male,2,some,little,negative,frequently,rarely,little,rural,1,1-2
55-64,collegedegree,male,2,some,little,neutral,occasionally,rarely,little,rural,1,1-2
55-64,somecollege,female,4,some,little,neutral,veryfrequently,rarely,little,suburban,1,3-4
25-34,graduatedegree,female,4,some,most,positive,frequently,occasionally,most,urban,3,3-4
25-34,collegedegree,female,1,some,none,positive,frequently,rarely,some,suburban,0,<1
25-34,highschool,female,2,some,little,neutral,veryfrequently,occasionally,little,suburban,1,1-2
55-64,somecollege,female,0,none,none,negative,never,never,none,urban,0,0
35-44,collegedegree,male,4,most,most,positive,frequently,occasionally,some,urban,3,3-4
25-34,graduatedegree,female,4,little,most,negative,veryfrequently,frequently,little,urban,3,3-4
55-64,collegedegree,male,4,some,some,neutral,frequently,rarely,some,urban,2,3-4
45-54,collegedegree,female,2,little,none,neutral,frequently,rarely,little,rural,0,1-2
35-44,collegedegree,female,2,some,all,positive,frequently,rarely,most,urban,4,1-2
55-64,somecollege,female,5,most,little,negative,veryfrequently,frequently,little,rural,1,5+
55-64,collegedegree,male,2,some,some,neutral,occasionally,occasionally,little,urban,2,1-2
45-54,somecollege,male,5,most,some,neutral,veryfrequently,frequently,little,rural,2,5+
35-44,graduatedegree,female,1,little,little,neutral,frequently,rarely,little,suburban,1,<1
35-44,graduatedegree,female,1,little,little,negative,occasionally,never,none,urban,1,<1
25-34,collegedegree,male,4,most,little,positive,frequently,occasionally,all,urban,1,3-4
55-64,collegedegree,female,4,most,some,positive,occasionally,occasionally,some,urban,2,3-4
35-44,somecollege,male,2,little,none,neutral,veryfrequently,rarely,little,urban,0,1-2
35-44,graduatedegree,male,4,some,some,neutral,veryfrequently,frequently,some,urban,2,3-4
25-34,graduatedegree,female,4,some,some,neutral,occasionally,frequently,most,rural,2,3-4
25-34,graduatedegree,female,5,some,little,positive,veryfrequently,occasionally,some,suburban,1,5+
65+,collegedegree,male,4,most,some,positive,frequently,frequently,most,suburban,2,3-4
35-44,highschool,male,2,little,little,positive,rarely,rarely,some,rural,1,1-2
25-34,graduatedegree,female,4,some,little,negative,veryfrequently,rarely,most,urban,1,3-4
25-34,graduatedegree,female,4,most,most,neutral,frequently,frequently,most,urban,3,3-4
55-64,graduatedegree,male,4,most,little,positive,veryfrequently,occasionally,some,rural,1,3-4
35-44,somecollege,male,2,little,none,neutral,frequently,occasionally,little,suburban,0,1-2
25-34,collegedegree,female,4,most,some,positive,veryfrequently,veryfrequently,most,urban,2,3-4
25-34,graduatedegree,male,2,all,all,positive,veryfrequently,veryfrequently,most,rural,4,1-2
25-34,collegedegree,male,5,all,all,neutral,frequently,frequently,all,urban,4,5+
45-54,collegedegree,male,5,most,most,positive,veryfrequently,veryfrequently,most,urban,3,5+
25-34,collegedegree,female,4,most,most,positive,frequently,veryfrequently,most,rural,3,3-4
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
35-44,graduatedegree,male,2,some,some,neutral,frequently,rarely,most,urban,2,1-2
35-44,graduatedegree,male,2,most,none,positive,veryfrequently,rarely,little,urban,0,1-2
35-44,somecollege,male,2,little,little,positive,rarely,rarely,some,rural,1,1-2
35-44,collegedegree,male,4,some,some,neutral,veryfrequently,rarely,little,urban,2,3-4
25-34,collegedegree,male,4,most,some,positive,veryfrequently,occasionally,most,rural,2,3-4
25-34,highschool,male,1,little,some,positive,rarely,occasionally,some,urban,2,<1
65+,graduatedegree,female,4,little,little,neutral,occasionally,occasionally,some,rural,1,3-4
25-34,graduatedegree,female,2,some,little,negative,veryfrequently,occasionally,some,urban,1,1-2
55-64,collegedegree,female,4,most,most,positive,frequently,frequently,some,suburban,3,3-4
35-44,collegedegree,female,1,some,little,neutral,occasionally,rarely,little,suburban,1,<1
25-34,graduatedegree,female,4,little,most,positive,frequently,frequently,most,rural,3,3-4
25-34,somecollege,female,2,some,some,positive,frequently,occasionally,some,suburban,2,1-2
35-44,somecollege,female,1,some,little,neutral,occasionally,occasionally,some,rural,1,<1
25-34,graduatedegree,male,2,most,some,positive,frequently,occasionally,some,urban,2,1-2
25-34,graduatedegree,female,5,most,some,positive,frequently,frequently,all,rural,2,5+
25-34,collegedegree,female,4,some,some,neutral,frequently,frequently,most,urban,2,3-4
65+,collegedegree,male,1,some,none,positive,frequently,never,some,suburban,0,<1
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,rural,3,5+
35-44,graduatedegree,female,4,some,all,negative,veryfrequently,never,little,suburban,4,3-4
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
35-44,somecollege,male,2,some,little,positive,occasionally,never,most,urban,1,1-2
55-64,graduatedegree,male,4,little,little,neutral,veryfrequently,frequently,some,urban,1,3-4
35-44,collegedegree,female,2,most,little,positive,frequently,frequently,all,urban,1,1-2
35-44,graduatedegree,male,4,some,none,positive,frequently,occasionally,some,suburban,0,3-4
25-34,collegedegree,male,2,some,some,positive,frequently,occasionally,some,suburban,2,1-2
25-34,collegedegree,female,4,most,most,positive,frequently,frequently,most,rural,3,3-4
55-64,collegedegree,male,2,some,none,positive,frequently,occasionally,some,urban,0,1-2
55-64,collegedegree,female,1,some,none,neutral,occasionally,occasionally,little,rural,0,<1
25-34,collegedegree,female,4,some,some,positive,frequently,frequently,some,urban,2,3-4
55-64,collegedegree,female,2,some,some,positive,frequently,occasionally,some,urban,2,1-2
25-34,graduatedegree,male,2,some,little,positive,frequently,occasionally,some,urban,1,1-2
25-34,collegedegree,female,5,most,most,neutral,frequently,frequently,most,urban,3,5+
45-54,collegedegree,male,2,some,little,positive,frequently,occasionally,little,suburban,1,1-2
25-34,collegedegree,male,5,all,some,positive,veryfrequently,never,most,urban,2,5+
25-34,collegedegree,male,2,little,little,neutral,frequently,occasionally,little,urban,1,1-2
25-34,collegedegree,female,5,most,most,positive,frequently,frequently,most,rural,3,5+
25-34,collegedegree,female,2,little,some,neutral,frequently,occasionally,some,urban,2,1-2
55-64,graduatedegree,male,4,some,most,neutral,frequently,occasionally,most,urban,3,3-4
25-34,collegedegree,female,5,most,most,neutral,frequently,occasionally,most,urban,3,5+
25-34,graduatedegree,male,2,most,most,positive,veryfrequently,frequently,most,urban,3,1-2
35-44,graduatedegree,male,4,some,most,neutral,rarely,occasionally,little,rural,3,3-4
25-34,collegedegree,male,1,little,some,negative,occasionally,rarely,none,urban,2,<1
18-24,graduatedegree,male,5,most,some,positive,veryfrequently,occasionally,most,urban,2,5+
25-34,collegedegree,male,5,most,most,neutral,veryfrequently,occasionally,most,rural,3,5+
25-34,collegedegree,female,5,all,most,neutral,frequently,frequently,all,urban,3,5+
35-44,graduatedegree,female,2,some,most,neutral,frequently,occasionally,little,rural,3,1-2
25-34,graduatedegree,male,5,most,most,neutral,veryfrequently,frequently,most,urban,3,5+
18-24,somecollege,male,4,some,all,negative,frequently,rarely,none,urban,4,3-4
25-34,collegedegree,female,2,little,most,positive,frequently,frequently,some,urban,3,1-2
25-34,somecollege,female,2,little,some,neutral,frequently,occasionally,none,rural,2,1-2
35-44,collegedegree,female,4,some,little,neutral,frequently,occasionally,some,urban,1,3-4
35-44,collegedegree,male,2,some,none,positive,veryfrequently,rarely,some,suburban,0,1-2
35-44,graduatedegree,female,4,some,some,neutral,veryfrequently,frequently,some,urban,2,3-4
25-34,graduatedegree,female,5,all,all,positive,veryfrequently,veryfrequently,most,rural,4,5+
25-34,collegedegree,male,5,some,little,positive,veryfrequently,occasionally,some,urban,1,5+
25-34,collegedegree,male,4,most,most,positive,frequently,frequently,most,urban,3,3-4
18-24,graduatedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
25-34,graduatedegree,male,4,some,little,positive,frequently,occasionally,some,suburban,1,3-4
25-34,collegedegree,male,4,most,little,positive,veryfrequently,occasionally,some,urban,1,3-4
55-64,graduatedegree,female,4,most,most,neutral,frequently,rarely,some,urban,3,3-4
25-34,somecollege,male,2,some,little,neutral,frequently,occasionally,some,urban,1,1-2
18-24,collegedegree,female,5,most,some,positive,frequently,occasionally,most,urban,2,5+
35-44,collegedegree,male,2,little,none,negative,frequently,rarely,none,urban,0,1-2
18-24,graduatedegree,female,4,little,little,positive,occasionally,occasionally,most,rural,1,3-4
35-44,graduatedegree,male,2,some,none,positive,frequently,rarely,some,urban,0,1-2
25-34,graduatedegree,male,2,little,little,neutral,frequently,occasionally,some,rural,1,1-2
35-44,graduatedegree,female,5,all,most,neutral,veryfrequently,occasionally,all,urban,3,5+
35-44,graduatedegree,male,2,some,some,neutral,occasionally,occasionally,some,rural,2,1-2
45-54,graduatedegree,male,5,most,some,neutral,veryfrequently,occasionally,most,urban,2,5+
25-34,graduatedegree,female,4,most,most,neutral,occasionally,occasionally,some,suburban,3,3-4
35-44,graduatedegree,male,0,none,none,negative,never,never,none,rural,0,0
35-44,graduatedegree,female,5,most,little,positive,veryfrequently,frequently,most,urban,1,5+
18-24,somecollege,female,4,most,some,neutral,frequently,occasionally,some,urban,2,3-4
25-34,somecollege,male,1,little,none,neutral,rarely,never,little,urban,0,<1
25-34,collegedegree,female,4,most,most,neutral,veryfrequently,occasionally,most,urban,3,3-4
45-54,graduatedegree,male,2,most,some,positive,veryfrequently,occasionally,some,urban,2,1-2
18-24,collegedegree,female,5,most,most,positive,frequently,occasionally,some,urban,3,5+
25-34,graduatedegree,male,4,some,some,neutral,veryfrequently,occasionally,some,urban,2,3-4
25-34,graduatedegree,male,4,all,all,positive,veryfrequently,veryfrequently,all,urban,4,3-4
25-34,collegedegree,male,5,all,all,positive,veryfrequently,veryfrequently,all,urban,4,5+
55-64,somecollege,female,4,some,little,neutral,veryfrequently,rarely,little,urban,1,3-4
25-34,graduatedegree,female,4,most,most,neutral,frequently,frequently,some,rural,3,3-4
25-34,graduatedegree,male,4,some,little,positive,veryfrequently,frequently,some,rural,1,3-4
35-44,collegedegree,female,4,most,some,neutral,occasionally,occasionally,none,rural,2,3-4
18-24,graduatedegree,female,1,most,little,positive,frequently,frequently,some,rural,1,<1
25-34,graduatedegree,female,4,most,some,positive,frequently,frequently,most,urban,2,3-4
25-34,collegedegree,male,2,some,little,positive,occasionally,occasionally,little,urban,1,1-2
25-34,graduatedegree,male,4,most,some,positive,frequently,occasionally,some,rural,2,3-4
35-44,graduatedegree,female,1,little,little,positive,occasionally,occasionally,some,urban,1,<1
18-24,graduatedegree,female,5,most,some,positive,frequently,occasionally,most,urban,2,5+
18-24,graduatedegree,male,1,none,some,positive,frequently,never,most,urban,2,<1
25-34,collegedegree,male,4,some,most,positive,occasionally,occasionally,most,rural,3,3-4
35-44,collegedegree,female,2,some,some,neutral,frequently,occasionally,some,rural,2,1-2
25-34,collegedegree,female,5,all,all,neutral,veryfrequently,veryfrequently,all,urban,4,5+
25-34,collegedegree,male,2,little,some,negative,occasionally,rarely,little,suburban,2,1-2
