TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
ZSWIM5,ZSWIM5,All Targets,RNA,Endogenous,1,1,33,9,7.932189019,1,1,57643
NSD3,NSD3,All Targets,RNA,Endogenous,1,2,151,26,23.70120848,1,1,54904
PLCXD2,PLCXD2,All Targets,RNA,Endogenous,1,1,44,8,7.115837456,1,1,257068
KRT34,"KRT31,KRT33B,KRT33A,LOC100653049,KRT34",All Targets,RNA,Endogenous,1,1,89,19,17.92150087,1,1,3885
CPLX4,CPLX4,All Targets,RNA,Endogenous,1,1,41,7,5.78437929,1,1,339302
BIRC8,BIRC8,All Targets,RNA,Endogenous,1,1,30,5,4.85159231,1,1,112401
LRTOMT,LRTOMT,All Targets,RNA,Endogenous,1,1,30,8,7.984905955,1,1,220074
C3orf62,C3orf62,All Targets,RNA,Endogenous,1,1,42,7,7.111022346,1,1,375341
MRPL13,MRPL13,All Targets,RNA,Endogenous,1,1,50,10,8.483716263,1,1,28998
ILKAP,ILKAP,All Targets,RNA,Endogenous,1,1,75,15,12.74893975,1,1,80895
PLEKHH1,PLEKHH1,All Targets,RNA,Endogenous,1,1,38,9,8.601205305,1,1,57475
HCN3,HCN3,All Targets,RNA,Endogenous,1,1,33,7,6.163741636,1,1,57657
TAF3,TAF3,All Targets,RNA,Endogenous,1,1,10,2,2.027804179,1,1,83860
HOXD8,HOXD8,All Targets,RNA,Endogenous,1,1,56,14,12.6356337,1,1,3234
GOT1,GOT1,All Targets,RNA,Endogenous,1,1,60,13,10.50601677,1,1,2805
LEFTY1,LEFTY1,All Targets,RNA,Endogenous,1,1,37,8,6.577018408,1,1,10637
NUMBL,NUMBL,All Targets,RNA,Endogenous,1,1,34,8,6.432703928,1,1,9253
CYSRT1,CYSRT1,All Targets,RNA,Endogenous,1,1,86,19,15.88189056,1,1,375791
C18orf32,"RPL17-C18orf32,C18orf32",All Targets,RNA,Endogenous,1,1,96,23,19.55519516,1,1,497661
IL5RA,IL5RA,All Targets,RNA,Endogenous,1,1,28,5,4.905452167,1,1,3568
TIGD7,TIGD7,All Targets,RNA,Endogenous,1,1,27,5,4.986999531,1,1,91151
CHRM1,CHRM1,All Targets,RNA,Endogenous,1,1,34,7,6.216745235,1,1,1128
ARPP19,ARPP19,All Targets,RNA,Endogenous,1,2,105,23,19.31707382,1,1,10776
SLC24A1,SLC24A1,All Targets,RNA,Endogenous,1,1,25,5,4.718997405,1,1,9187
ESRRB,ESRRB,All Targets,RNA,Endogenous,1,1,38,7,5.598117827,1,1,2103
TNFAIP6,TNFAIP6,All Targets,RNA,Endogenous,1,1,26,6,5.022472106,1,1,7130
MCOLN1,MCOLN1,All Targets,RNA,Endogenous,1,1,39,10,7.723768093,1,1,57192
ATL1,ATL1,All Targets,RNA,Endogenous,1,1,57,9,7.762674916,1,1,51062
CYS1,CYS1,All Targets,RNA,Endogenous,1,1,82,21,17.51330924,1,1,192668
PKIB,PKIB,All Targets,RNA,Endogenous,1,1,37,9,6.931850573,1,1,5570
CER1,CER1,All Targets,RNA,Endogenous,1,1,44,9,7.546016239,1,1,9350
ATP8B2,ATP8B2,All Targets,RNA,Endogenous,1,1,142,17,16.85573586,1,1,57198
ONECUT2,ONECUT2,All Targets,RNA,Endogenous,1,1,185,12,12.94584577,1,1,9480
KLHL18,KLHL18,All Targets,RNA,Endogenous,1,1,44,7,6.018267045,1,1,23276
CCL16,CCL16,All Targets,RNA,Endogenous,1,1,27,7,5.599852703,1,1,6360
ZBTB7B,ZBTB7B,All Targets,RNA,Endogenous,1,2,160,42,34.69332921,1,1,51043
TCTN2,TCTN2,All Targets,RNA,Endogenous,1,1,37,10,8.236505494,1,1,79867
POLL,POLL,All Targets,RNA,Endogenous,1,1,69,15,12.52936792,1,1,27343
CCDC6,CCDC6,All Targets,RNA,Endogenous,1,1,68,18,16.11877739,1,1,8030
PLCE1,PLCE1,All Targets,RNA,Endogenous,1,1,31,6,6.160622176,1,1,51196
LYPD8,LYPD8,All Targets,RNA,Endogenous,1,1,53,5,4.725770978,1,1,646627
CCL19,CCL19,All Targets,RNA,Endogenous,1,1,44,10,9.194290835,1,1,6363
PRCP,PRCP,All Targets,RNA,Endogenous,1,1,47,10,9.145391208,1,1,5547
TSC22D1,TSC22D1,All Targets,RNA,Endogenous,1,1,124,28,24.11605494,1,1,8848
VSTM5,VSTM5,All Targets,RNA,Endogenous,1,1,40,4,3.79328186,1,1,387804
CA5A,CA5A,All Targets,RNA,Endogenous,1,1,58,11,11.12451904,1,1,763
TMEM192,TMEM192,All Targets,RNA,Endogenous,1,1,32,6,5.354416815,1,1,201931
SGMS1,SGMS1,All Targets,RNA,Endogenous,1,1,53,11,10.14146319,1,1,259230
IMPDH1,IMPDH1,All Targets,RNA,Endogenous,1,2,192,37,32.27738666,1,1,3614
ZNF593,ZNF593,All Targets,RNA,Endogenous,1,1,46,9,7.821385369,1,1,51042
NACA,NACA,All Targets,RNA,Endogenous,1,5,396,80,71.40377496,1,1,4666
TMEM260,TMEM260,All Targets,RNA,Endogenous,1,1,71,11,10.22821888,1,1,54916
C20orf85,C20orf85,All Targets,RNA,Endogenous,1,1,35,7,5.950300697,1,1,128602
CENPB,CENPB,All Targets,RNA,Endogenous,1,1,46,13,11.04298958,1,1,1059
BRD9,BRD9,All Targets,RNA,Endogenous,1,1,57,11,10.22611052,1,1,65980
PAX6,PAX6,All Targets,RNA,Endogenous,1,1,37,9,7.721748939,1,1,5080
BAX,BAX,All Targets,RNA,Endogenous,1,2,206,36,31.27800434,1,1,581
EDN3,EDN3,All Targets,RNA,Endogenous,1,1,22,4,3.352785458,1,1,1908
TSPO,TSPO,All Targets,RNA,Endogenous,1,1,134,20,16.52214743,1,1,706
ZNF195,ZNF195,All Targets,RNA,Endogenous,1,1,41,11,8.728746608,1,1,7748
PITPNC1,PITPNC1,All Targets,RNA,Endogenous,1,1,79,14,12.67289816,1,1,26207
UCHL1,UCHL1,All Targets,RNA,Endogenous,1,1,28,6,6.097699344,1,1,7345
TFB2M,TFB2M,All Targets,RNA,Endogenous,1,1,61,12,11.05916155,1,1,64216
ZNF177,"ZNF559-ZNF177,ZNF177",All Targets,RNA,Endogenous,1,1,27,6,5.936363787,1,1,7730
GDF15,GDF15,All Targets,RNA,Endogenous,1,1,57,6,4.746197648,1,1,9518
KLRC3,KLRC3,All Targets,RNA,Endogenous,1,1,41,7,5.952776929,1,1,3823
TICRR,TICRR,All Targets,RNA,Endogenous,1,1,52,12,9.281881779,1,1,90381
PSD3,PSD3,All Targets,RNA,Endogenous,1,1,33,8,6.835652276,1,1,23362
SNW1,SNW1,All Targets,RNA,Endogenous,1,1,135,29,24.47746646,1,1,22938
TRIP13,TRIP13,All Targets,RNA,Endogenous,1,1,43,8,6.757527895,1,1,9319
RAB40B,RAB40B,All Targets,RNA,Endogenous,1,1,30,7,6.076331809,1,1,10966
CALCA,CALCA,All Targets,RNA,Endogenous,1,1,22,6,5.070614929,1,1,796
TMEM139,TMEM139,All Targets,RNA,Endogenous,1,1,37,9,7.197042496,1,1,135932
CNTD1,CNTD1,All Targets,RNA,Endogenous,1,1,24,4,4.09037746,1,1,124817
TIPIN,TIPIN,All Targets,RNA,Endogenous,1,1,68,17,14.82567427,1,1,54962
RNMT,RNMT,All Targets,RNA,Endogenous,1,1,24,6,5.368284153,1,1,8731
SEMG2,SEMG2,All Targets,RNA,Endogenous,1,1,27,7,6.094891899,1,1,6407
ETNK2,ETNK2,All Targets,RNA,Endogenous,1,1,33,8,6.455861166,1,1,55224
LILRA3,LILRA3,All Targets,RNA,Endogenous,1,1,29,7,6.036907208,1,1,11026
LYST,LYST,All Targets,RNA,Endogenous,1,1,182,15,15.77995144,1,1,1130
ZNF14,ZNF14,All Targets,RNA,Endogenous,1,1,41,6,5.875679579,1,1,7561
SPINK7,SPINK7,All Targets,RNA,Endogenous,1,1,20,5,4.281585044,1,1,84651
HRNR,HRNR,All Targets,RNA,Endogenous,1,1,24,6,5.117206876,1,1,388697
IKZF3,IKZF3,All Targets,RNA,Endogenous,1,1,195,17,17.73644805,1,1,22806
CCDC127,CCDC127,All Targets,RNA,Endogenous,1,1,43,10,8.039846339,1,1,133957
SMTNL2,SMTNL2,All Targets,RNA,Endogenous,1,1,26,6,5.024998513,1,1,342527
RNF43,RNF43,All Targets,RNA,Endogenous,1,1,56,9,7.675526482,1,1,54894
OR8U9,OR8U9,All Targets,RNA,Endogenous,1,1,26,6,4.870410655,1,1,504190
ENSA,ENSA,All Targets,RNA,Endogenous,1,2,177,35,29.65837335,1,1,2029
HSPB9,HSPB9,All Targets,RNA,Endogenous,1,1,23,7,6.386080416,1,1,94086
BAD,BAD,All Targets,RNA,Endogenous,1,1,48,14,11.18528308,1,1,572
UBXN11,UBXN11,All Targets,RNA,Endogenous,1,3,129,31,25.6021141,1,1,91544
TGFB3,TGFB3,All Targets,RNA,Endogenous,1,2,71,12,10.84142182,1,1,7043
PRSS12,PRSS12,All Targets,RNA,Endogenous,1,1,30,7,6.355723539,1,1,8492
SPACA6,SPACA6,All Targets,RNA,Endogenous,1,1,37,8,7.127630488,1,1,147650
EIF3F,EIF3F,All Targets,RNA,Endogenous,1,4,312,51,44.85532526,1,1,8665
TSHB,TSHB,All Targets,RNA,Endogenous,1,1,37,9,7.600949348,1,1,7252
CNOT4,CNOT4,All Targets,RNA,Endogenous,1,1,76,15,12.51278999,1,1,4850
RPL7A,RPL7A,All Targets,RNA,Endogenous,1,30,1625,325,300.7257086,1,1,6130
PDE8B,PDE8B,All Targets,RNA,Endogenous,1,1,27,6,5.128583632,1,1,8622
WWOX,WWOX,All Targets,RNA,Endogenous,1,1,67,14,12.30408165,1,1,51741
SNN,SNN,All Targets,RNA,Endogenous,1,1,62,13,12.05988428,1,1,8303
FBXO3,FBXO3,All Targets,RNA,Endogenous,1,1,38,8,6.51083844,1,1,26273
SEMA3E,SEMA3E,All Targets,RNA,Endogenous,1,1,40,7,5.725937605,1,1,9723
GFM1,GFM1,All Targets,RNA,Endogenous,1,1,46,12,9.352255428,1,1,85476
CCL13,CCL13,All Targets,RNA,Endogenous,1,1,27,7,6.574366177,1,1,6357
USP32,USP32,All Targets,RNA,Endogenous,1,1,44,11,9.534605358,1,1,84669
OLIG1,OLIG1,All Targets,RNA,Endogenous,1,1,43,10,8.041971838,1,1,116448
OR6Y1,OR6Y1,All Targets,RNA,Endogenous,1,1,27,6,5.225475125,1,1,391112
MRGPRE,MRGPRE,All Targets,RNA,Endogenous,1,1,56,18,15.02817689,1,1,116534
PHLDA3,PHLDA3,All Targets,RNA,Endogenous,1,1,111,16,15.12042259,1,1,23612
LIPI,LIPI,All Targets,RNA,Endogenous,1,1,14,4,3.235636914,1,1,149998
TBX3,TBX3,All Targets,RNA,Endogenous,1,1,30,6,5.360259486,1,1,6926
DBH,DBH,All Targets,RNA,Endogenous,1,1,35,7,6.541976833,1,1,1621
CCNB2,CCNB2,All Targets,RNA,Endogenous,1,1,68,12,10.66136894,1,1,9133
ERBIN,ERBIN,All Targets,RNA,Endogenous,1,1,63,16,12.83456736,1,1,55914
PLCB1,PLCB1,All Targets,RNA,Endogenous,1,1,40,8,6.894725961,1,1,23236
DYNLT2,DYNLT2,All Targets,RNA,Endogenous,1,1,41,7,6.75950275,1,1,6991
AP3M2,AP3M2,All Targets,RNA,Endogenous,1,1,55,15,12.26355814,1,1,10947
HSPA5,HSPA5,All Targets,RNA,Endogenous,1,1,183,31,24.26038707,1,1,3309
TSEN2,TSEN2,All Targets,RNA,Endogenous,1,1,43,10,8.30932597,1,1,80746
TAS2R60,TAS2R60,All Targets,RNA,Endogenous,1,1,39,11,9.857120164,1,1,338398
ZNF57,ZNF57,All Targets,RNA,Endogenous,1,1,25,5,4.600146777,1,1,126295
CNOT10,CNOT10,All Targets,RNA,Endogenous,1,1,68,13,12.43991258,1,1,25904
C14orf119,C14orf119,All Targets,RNA,Endogenous,1,1,54,12,9.379948892,1,1,55017
RPS4Y2,RPS4Y2,All Targets,RNA,Endogenous,1,1,14,4,3.697764407,1,1,140032
YBX2,YBX2,All Targets,RNA,Endogenous,1,1,27,7,6.417050255,1,1,51087
CYP26B1,CYP26B1,All Targets,RNA,Endogenous,1,1,42,9,8.138694811,1,1,56603
BTF3,"BTF3P11,BTF3",All Targets,RNA,Endogenous,1,7,534,108,95.83184323,1,1,689
ZNF329,ZNF329,All Targets,RNA,Endogenous,1,1,75,4,4.250776864,1,1,79673
PNP,PNP,All Targets,RNA,Endogenous,1,1,74,12,11.718079,1,1,4860
DENND2A,DENND2A,All Targets,RNA,Endogenous,1,1,28,7,5.343944525,1,1,27147
RTL8C,"RTL8C,RTL8B",All Targets,RNA,Endogenous,1,1,121,32,26.83507042,1,1,8933
TMCO6,TMCO6,All Targets,RNA,Endogenous,1,1,67,13,10.78669004,1,1,55374
BCL2L10,BCL2L10,All Targets,RNA,Endogenous,1,1,30,7,6.834863744,1,1,10017
SLC26A11,SLC26A11,All Targets,RNA,Endogenous,1,1,37,6,5.304858488,1,1,284129
PTPN9,PTPN9,All Targets,RNA,Endogenous,1,1,68,14,13.28830366,1,1,5780
MSTN,MSTN,All Targets,RNA,Endogenous,1,1,25,5,5.036667471,1,1,2660
PKM,PKM,All Targets,RNA,Endogenous,1,4,431,64,59.23899253,1,1,5315
MATN1,MATN1,All Targets,RNA,Endogenous,1,1,30,5,5.024254058,1,1,4146
PYGM,PYGM,All Targets,RNA,Endogenous,1,1,33,6,5.218523614,1,1,5837
NDUFB3,NDUFB3,All Targets,RNA,Endogenous,1,1,128,34,29.22823534,1,1,4709
OCIAD1,OCIAD1,All Targets,RNA,Endogenous,1,3,149,37,32.39062577,1,1,54940
EBLN1,EBLN1,All Targets,RNA,Endogenous,1,1,26,6,5.556318551,1,1,340900
BMS1,BMS1,All Targets,RNA,Endogenous,1,1,97,19,15.84782027,1,1,9790
ZNF404,ZNF404,All Targets,RNA,Endogenous,1,1,28,8,6.96670453,1,1,342908
HPGD,HPGD,All Targets,RNA,Endogenous,1,1,193,12,11.34447874,1,1,3248
GIMAP8,GIMAP8,All Targets,RNA,Endogenous,1,1,48,6,6.139087218,1,1,155038
UTRN,UTRN,All Targets,RNA,Endogenous,1,1,87,19,14.32441832,1,1,7402
ADCY3,ADCY3,All Targets,RNA,Endogenous,1,1,47,7,6.316123127,1,1,109
TMEM191B,"TMEM191B,TMEM191C,TMEM191A",All Targets,RNA,Endogenous,1,1,92,18,14.96607239,1,1,728229
SOWAHC,SOWAHC,All Targets,RNA,Endogenous,1,1,34,6,5.076234673,1,1,65124
TBC1D30,TBC1D30,All Targets,RNA,Endogenous,1,1,26,7,5.598207018,1,1,23329
C7orf31,C7orf31,All Targets,RNA,Endogenous,1,1,31,8,6.828594954,1,1,136895
NSUN4,NSUN4,All Targets,RNA,Endogenous,1,1,31,9,7.296161876,1,1,387338
NCOA3,NCOA3,All Targets,RNA,Endogenous,1,1,75,15,12.29268038,1,1,8202
ECM1,ECM1,All Targets,RNA,Endogenous,1,1,40,7,6.28309088,1,1,1893
SDR42E1,SDR42E1,All Targets,RNA,Endogenous,1,1,24,6,5.797807999,1,1,93517
TIFA,TIFA,All Targets,RNA,Endogenous,1,1,31,7,6.800010759,1,1,92610
SOCS4,SOCS4,All Targets,RNA,Endogenous,1,1,70,13,11.29776613,1,1,122809
DNAJC2,DNAJC2,All Targets,RNA,Endogenous,1,1,33,8,6.677317092,1,1,27000
TNPO2,TNPO2,All Targets,RNA,Endogenous,1,1,51,8,7.185778111,1,1,30000
DLK1,DLK1,All Targets,RNA,Endogenous,1,1,26,6,4.916470252,1,1,8788
RBM3,RBM3,All Targets,RNA,Endogenous,1,1,84,15,13.64794875,1,1,5935
DCST2,DCST2,All Targets,RNA,Endogenous,1,1,42,8,6.53767089,1,1,127579
SLC25A15,SLC25A15,All Targets,RNA,Endogenous,1,1,50,10,9.589386618,1,1,10166
GPR84,GPR84,All Targets,RNA,Endogenous,1,1,29,6,5.08544157,1,1,53831
CXXC4,CXXC4,All Targets,RNA,Endogenous,1,1,33,7,5.72798918,1,1,80319
HACD2,HACD2,All Targets,RNA,Endogenous,1,1,41,11,8.21581231,1,1,201562
NHSL1,NHSL1,All Targets,RNA,Endogenous,1,1,31,6,5.193116017,1,1,57224
HSF2BP,HSF2BP,All Targets,RNA,Endogenous,1,1,26,6,4.827032707,1,1,11077
PSMB5,PSMB5,All Targets,RNA,Endogenous,1,1,60,12,10.19547887,1,1,5693
SPACA9,SPACA9,All Targets,RNA,Endogenous,1,1,20,5,4.029177917,1,1,11092
MAP3K1,MAP3K1,All Targets,RNA,Endogenous,1,1,74,18,14.56607509,1,1,4214
SULT1A4,"SULT1A4,SULT1A3",All Targets,RNA,Endogenous,1,1,143,34,29.89350891,1,1,445329
MYO1F,MYO1F,All Targets,RNA,Endogenous,1,1,262,22,24.20230363,1,1,4542
C2orf68,C2orf68,All Targets,RNA,Endogenous,1,1,41,8,6.497250226,1,1,388969
IRF2BPL,IRF2BPL,All Targets,RNA,Endogenous,1,1,44,12,9.54820773,1,1,64207
KRT36,KRT36,All Targets,RNA,Endogenous,1,1,49,11,8.586435102,1,1,8689
NFKBIE,NFKBIE,All Targets,RNA,Endogenous,1,1,73,15,12.26178318,1,1,4794
PRDM2,PRDM2,All Targets,RNA,Endogenous,1,1,60,11,9.380021676,1,1,7799
NDUFA9,NDUFA9,All Targets,RNA,Endogenous,1,1,83,18,16.93311867,1,1,4704
SLC35A4,SLC35A4,All Targets,RNA,Endogenous,1,1,53,12,10.67050061,1,1,113829
CLDN25,CLDN25,All Targets,RNA,Endogenous,1,1,36,7,6.25921433,1,1,644672
PIN1,PIN1,All Targets,RNA,Endogenous,1,1,81,15,12.58716081,1,1,5300
HDAC8,HDAC8,All Targets,RNA,Endogenous,1,1,59,11,8.740800751,1,1,55869
RHBDF2,RHBDF2,All Targets,RNA,Endogenous,1,1,96,21,16.81529196,1,1,79651
ADK,ADK,All Targets,RNA,Endogenous,1,1,70,16,14.24893784,1,1,132
SLC10A3,SLC10A3,All Targets,RNA,Endogenous,1,1,55,10,9.41046745,1,1,8273
ACAT2,ACAT2,All Targets,RNA,Endogenous,1,1,48,11,9.350779741,1,1,39
NAV3,NAV3,All Targets,RNA,Endogenous,1,1,13,3,2.987509619,1,1,89795
DBX1,DBX1,All Targets,RNA,Endogenous,1,1,38,9,7.123919392,1,1,120237
HS3ST3A1,HS3ST3A1,All Targets,RNA,Endogenous,1,1,28,7,6.027727294,1,1,9955
TBXA2R,TBXA2R,All Targets,RNA,Endogenous,1,1,59,12,10.39270523,1,1,6915
KCNB2,KCNB2,All Targets,RNA,Endogenous,1,1,31,6,5.370042931,1,1,9312
C9orf43,C9orf43,All Targets,RNA,Endogenous,1,1,43,6,6.42995347,1,1,257169
APBB1IP,APBB1IP,All Targets,RNA,Endogenous,1,1,61,7,6.774648189,1,1,54518
UBE2D2,UBE2D2,All Targets,RNA,Endogenous,1,1,192,31,27.94894128,1,1,7322
DEFB128,DEFB128,All Targets,RNA,Endogenous,1,1,20,6,5.189722729,1,1,245939
PRDX6,PRDX6,All Targets,RNA,Endogenous,1,1,44,12,11.41417192,1,1,9588
FAM163A,FAM163A,All Targets,RNA,Endogenous,1,1,30,7,5.232511698,1,1,148753
CAPZA1,CAPZA1,All Targets,RNA,Endogenous,1,2,116,20,18.43153481,1,1,829
ELMOD2,ELMOD2,All Targets,RNA,Endogenous,1,1,29,9,7.406776734,1,1,255520
GPR119,GPR119,All Targets,RNA,Endogenous,1,1,31,6,5.615077303,1,1,139760
NUP54,NUP54,All Targets,RNA,Endogenous,1,1,47,10,8.67572035,1,1,53371
PTPRCAP,"CORO1B,PTPRCAP",All Targets,RNA,Endogenous,1,11,621,61,60.6052182,1,1,5790
ZNRF3,ZNRF3,All Targets,RNA,Endogenous,1,1,30,7,6.523334039,1,1,84133
CALHM5,CALHM5,All Targets,RNA,Endogenous,1,1,23,6,5.630634773,1,1,254228
ZNF407,ZNF407,All Targets,RNA,Endogenous,1,1,70,17,13.70455082,1,1,55628
MED9,MED9,All Targets,RNA,Endogenous,1,1,26,6,5.08866721,1,1,55090
RPA4,RPA4,All Targets,RNA,Endogenous,1,1,31,6,5.373772642,1,1,29935
GLIS2,GLIS2,All Targets,RNA,Endogenous,1,1,138,30,26.20702465,1,1,84662
GOLGA6L6,"GOLGA6L22,GOLGA6L6,LOC102723623,GOLGA6L1",All Targets,RNA,Endogenous,1,3,300,55,51.76803627,1,1,727832
TTC38,TTC38,All Targets,RNA,Endogenous,1,1,47,11,9.3859136,1,1,55020
TG,TG,All Targets,RNA,Endogenous,1,1,24,4,3.698491006,1,1,7038
DDX3X,DDX3X,All Targets,RNA,Endogenous,1,3,347,41,41.21376224,1,1,1654
AUTS2,AUTS2,All Targets,RNA,Endogenous,1,1,27,7,6.024502112,1,1,26053
CCDC42,CCDC42,All Targets,RNA,Endogenous,1,1,36,6,5.718575714,1,1,146849
ORC3,ORC3,All Targets,RNA,Endogenous,1,1,49,11,9.506056622,1,1,23595
MED11,MED11,All Targets,RNA,Endogenous,1,1,48,12,10.72509376,1,1,400569
PFAS,PFAS,All Targets,RNA,Endogenous,1,1,63,14,11.88113155,1,1,5198
BTN2A1,BTN2A1,All Targets,RNA,Endogenous,1,1,65,17,14.91290486,1,1,11120
PLEKHB2,PLEKHB2,All Targets,RNA,Endogenous,1,1,77,17,14.14294263,1,1,55041
DMXL1,DMXL1,All Targets,RNA,Endogenous,1,1,58,12,10.09243587,1,1,1657
RFPL1,RFPL1,All Targets,RNA,Endogenous,1,1,40,8,6.468127904,1,1,5988
AKAP14,AKAP14,All Targets,RNA,Endogenous,1,1,29,4,3.736964635,1,1,158798
TAP1,TAP1,All Targets,RNA,Endogenous,1,1,614,44,47.19806895,1,1,6890
RWDD2B,RWDD2B,All Targets,RNA,Endogenous,1,1,59,12,11.20352792,1,1,10069
LCN9,LCN9,All Targets,RNA,Endogenous,1,1,25,6,5.454171367,1,1,392399
ZNF234,ZNF234,All Targets,RNA,Endogenous,1,1,33,9,6.831022923,1,1,10780
CTNNBIP1,CTNNBIP1,All Targets,RNA,Endogenous,1,1,35,9,7.133845726,1,1,56998
MAK,MAK,All Targets,RNA,Endogenous,1,1,22,5,4.588545396,1,1,4117
VCAM1,VCAM1,All Targets,RNA,Endogenous,1,1,86,11,10.28107711,1,1,7412
NT5DC3,NT5DC3,All Targets,RNA,Endogenous,1,1,21,3,2.894378963,1,1,51559
H3-3B,H3-3B,All Targets,RNA,Endogenous,1,12,707,138,120.0425533,1,1,3021
LYZ,LYZ,All Targets,RNA,Endogenous,1,1,8775,14,26.12931473,1,1,4069
SLC35G2,SLC35G2,All Targets,RNA,Endogenous,1,1,33,8,6.82266482,1,1,80723
SERPIND1,SERPIND1,All Targets,RNA,Endogenous,1,1,21,5,4.403741128,1,1,3053
CCT4,CCT4,All Targets,RNA,Endogenous,1,1,123,27,22.90069614,1,1,10575
RAB31,RAB31,All Targets,RNA,Endogenous,1,1,31,7,5.896050541,1,1,11031
EFCAB9,EFCAB9,All Targets,RNA,Endogenous,1,1,23,6,5.126229094,1,1,285588
SMCO4,SMCO4,All Targets,RNA,Endogenous,1,1,67,14,11.38381252,1,1,56935
CEBPD,CEBPD,All Targets,RNA,Endogenous,1,1,97,13,11.66490545,1,1,1052
OR9G9,"OR9G9,OR9G1",All Targets,RNA,Endogenous,1,1,40,8,8.019483532,1,1,504191
DIDO1,DIDO1,All Targets,RNA,Endogenous,1,1,66,15,11.15997994,1,1,11083
LYPD4,LYPD4,All Targets,RNA,Endogenous,1,1,34,5,5.038592795,1,1,147719
EXD2,EXD2,All Targets,RNA,Endogenous,1,1,37,9,7.936856895,1,1,55218
CAGE1,CAGE1,All Targets,RNA,Endogenous,1,1,25,6,4.335180402,1,1,285782
FGA,FGA,All Targets,RNA,Endogenous,1,1,18,4,3.75231243,1,1,2243
NBAS,NBAS,All Targets,RNA,Endogenous,1,1,54,11,10.0079389,1,1,51594
BATF,BATF,All Targets,RNA,Endogenous,1,1,270,15,17.18207486,1,1,10538
TCF20,TCF20,All Targets,RNA,Endogenous,1,1,67,14,12.3619695,1,1,6942
DTX2,DTX2,All Targets,RNA,Endogenous,1,1,59,12,9.804955324,1,1,113878
HTR2A,HTR2A,All Targets,RNA,Endogenous,1,1,29,6,5.598683942,1,1,3356
PWWP3A,PWWP3A,All Targets,RNA,Endogenous,1,1,53,13,11.64712625,1,1,84939
OPRM1,OPRM1,All Targets,RNA,Endogenous,1,1,32,6,5.951910715,1,1,4988
TMCO4,TMCO4,All Targets,RNA,Endogenous,1,1,48,13,10.9222675,1,1,255104
DHX57,DHX57,All Targets,RNA,Endogenous,1,1,44,9,7.794343637,1,1,90957
SLC25A39,SLC25A39,All Targets,RNA,Endogenous,1,1,76,19,16.59446305,1,1,51629
SMIM27,SMIM27,All Targets,RNA,Endogenous,1,1,58,9,9.049081594,1,1,100129250
PTGER1,PTGER1,All Targets,RNA,Endogenous,1,1,32,7,6.38141375,1,1,5731
EXOSC2,EXOSC2,All Targets,RNA,Endogenous,1,1,57,12,10.09533091,1,1,23404
INSL3,INSL3,All Targets,RNA,Endogenous,1,1,58,8,7.512351723,1,1,3640
VPS25,VPS25,All Targets,RNA,Endogenous,1,1,50,13,11.34048186,1,1,84313
TEX47,TEX47,All Targets,RNA,Endogenous,1,1,25,6,4.894836173,1,1,219557
FAT1,FAT1,All Targets,RNA,Endogenous,1,1,52,5,5.515608761,1,1,2195
ZNF117,ZNF117,All Targets,RNA,Endogenous,1,1,126,42,31.87471264,1,1,51351
PPIP5K2,PPIP5K2,All Targets,RNA,Endogenous,1,1,81,17,14.7851856,1,1,23262
CA3,CA3,All Targets,RNA,Endogenous,1,1,31,8,7.274853495,1,1,761
OR2G2,OR2G2,All Targets,RNA,Endogenous,1,1,26,6,5.233596403,1,1,81470
IYD,IYD,All Targets,RNA,Endogenous,1,1,43,9,8.145211457,1,1,389434
CXCL5,CXCL5,All Targets,RNA,Endogenous,1,1,1305,12,18.72035972,1,1,6374
TNFRSF1B,TNFRSF1B,All Targets,RNA,Endogenous,1,3,223,30,29.46852988,1,1,7133
NEPRO,NEPRO,All Targets,RNA,Endogenous,1,1,69,13,11.6485676,1,1,25871
ACSM3,ACSM3,All Targets,RNA,Endogenous,1,1,48,9,8.38400169,1,1,6296
CHST8,CHST8,All Targets,RNA,Endogenous,1,1,17,3,3.140614431,1,1,64377
MSL2,MSL2,All Targets,RNA,Endogenous,1,1,91,14,12.39686829,1,1,55167
VAX2,VAX2,All Targets,RNA,Endogenous,1,1,25,6,5.33785839,1,1,25806
C1QA,C1QA,All Targets,RNA,Endogenous,1,1,43,11,9.137534095,1,1,712
CCN1,CCN1,All Targets,RNA,Endogenous,1,1,136,9,9.315826188,1,1,3491
LIX1L,LIX1L,All Targets,RNA,Endogenous,1,1,51,8,6.943733647,1,1,128077
RUBCNL,RUBCNL,All Targets,RNA,Endogenous,1,1,38,5,5.253160241,1,1,80183
CSN2,CSN2,All Targets,RNA,Endogenous,1,1,28,6,5.268904265,1,1,1447
PPHLN1,PPHLN1,All Targets,RNA,Endogenous,1,1,49,12,9.933969177,1,1,51535
DENND2B,DENND2B,All Targets,RNA,Endogenous,1,1,62,9,7.367452857,1,1,6764
KCNMB1,KCNMB1,All Targets,RNA,Endogenous,1,1,22,4,3.721774313,1,1,3779
PDLIM5,PDLIM5,All Targets,RNA,Endogenous,1,3,152,43,38.01806805,1,1,10611
DRC1,DRC1,All Targets,RNA,Endogenous,1,1,25,5,4.712477904,1,1,92749
