Sample ID,Lake,Collection Date,Point,Replicate,Template volume,Species,Habitat,Detection 
VERX003,Lake Vermilion,7/26/2021,1,1,1,zm,Nearshore,NA
VERX008,Lake Vermilion,7/26/2021,1,2,3,zm,Nearshore,NA
VERX008,Lake Vermilion,7/26/2021,1,2,1,zm,Nearshore,NA
VERX013,Lake Vermilion,7/26/2021,1,3,3,zm,Nearshore,NA
VERX013,Lake Vermilion,7/26/2021,1,3,1,zm,Nearshore,NA
VERX025,Lake Vermilion,7/26/2021,3,1,3,zm,Nearshore,NA
VERX025,Lake Vermilion,7/26/2021,3,1,1,zm,Nearshore,NA
VERX030,Lake Vermilion,7/26/2021,3,2,3,zm,Nearshore,NA
VERX030,Lake Vermilion,7/26/2021,3,2,1,zm,Nearshore,NA
VERX035,Lake Vermilion,7/26/2021,3,3,3,zm,Nearshore,NA
VERX035,Lake Vermilion,7/26/2021,3,3,1,zm,Nearshore,NA
VERX045,Lake Vermilion,7/26/2021,5,1,3,zm,Nearshore,NA
VERX045,Lake Vermilion,7/26/2021,5,1,1,zm,Nearshore,NA
VERX050,Lake Vermilion,7/26/2021,5,2,3,zm,Nearshore,NA
VERX050,Lake Vermilion,7/26/2021,5,2,1,zm,Nearshore,NA
VERX055,Lake Vermilion,7/26/2021,5,3,3,zm,Nearshore,NA
VERX055,Lake Vermilion,7/26/2021,5,3,1,zm,Nearshore,NA
VERX070,Lake Vermilion,7/27/2021,7,1,3,zm,Offshore,NA
VERX070,Lake Vermilion,7/27/2021,7,1,1,zm,Offshore,NA
VERX075,Lake Vermilion,7/27/2021,7,2,3,zm,Offshore,NA
VERX075,Lake Vermilion,7/27/2021,7,2,1,zm,Offshore,NA
VERX080,Lake Vermilion,7/27/2021,7,3,3,zm,Offshore,NA
VERX080,Lake Vermilion,7/27/2021,7,3,1,zm,Offshore,NA
VERX102,Lake Vermilion,7/27/2021,10,1,3,zm,Offshore,NA
VERX102,Lake Vermilion,7/27/2021,10,1,1,zm,Offshore,NA
VERX107,Lake Vermilion,7/27/2021,10,2,3,zm,Offshore,NA
VERX107,Lake Vermilion,7/27/2021,10,2,1,zm,Offshore,NA
VERX112,Lake Vermilion,7/27/2021,10,3,3,zm,Offshore,NA
VERX112,Lake Vermilion,7/27/2021,10,3,1,zm,Offshore,NA
PKEX003,Pike Lake,7/14/2021,1,1,3,rc,Nearshore,NA
PKEX003,Pike Lake,7/14/2021,1,1,1,rc,Nearshore,NA
PKEX008,Pike Lake,7/14/2021,1,2,3,rc,Nearshore,NA
PKEX008,Pike Lake,7/14/2021,1,2,1,rc,Nearshore,NA
PKEX013,Pike Lake,7/14/2021,1,3,3,rc,Nearshore,NA
PKEX013,Pike Lake,7/14/2021,1,3,1,rc,Nearshore,NA
PKEX025,Pike Lake,7/14/2021,3,1,3,rc,Nearshore,NA
PKEX025,Pike Lake,7/14/2021,3,1,1,rc,Nearshore,NA
PKEX030,Pike Lake,7/14/2021,3,2,3,rc,Nearshore,NA
PKEX030,Pike Lake,7/14/2021,3,2,1,rc,Nearshore,NA
PKEX035,Pike Lake,7/14/2021,3,3,3,rc,Nearshore,NA
PKEX035,Pike Lake,7/14/2021,3,3,1,rc,Nearshore,NA
PKEX045,Pike Lake,7/14/2021,5,1,3,rc,Nearshore,NA
PKEX045,Pike Lake,7/14/2021,5,1,1,rc,Nearshore,NA
PKEX050,Pike Lake,7/14/2021,5,2,3,rc,Nearshore,NA
PKEX050,Pike Lake,7/14/2021,5,2,1,rc,Nearshore,NA
PKEX055,Pike Lake,7/14/2021,5,3,3,rc,Nearshore,NA
PKEX055,Pike Lake,7/14/2021,5,3,1,rc,Nearshore,NA
PKEX070,Pike Lake,7/15/2021,7,1,3,rc,Offshore,NA
PKEX070,Pike Lake,7/15/2021,7,1,1,rc,Offshore,NA
PKEX075,Pike Lake,7/15/2021,7,2,3,rc,Offshore,NA
PKEX075,Pike Lake,7/15/2021,7,2,1,rc,Offshore,NA
PKEX080,Pike Lake,7/15/2021,7,3,3,rc,Offshore,NA
PKEX080,Pike Lake,7/15/2021,7,3,1,rc,Offshore,NA
PKEX102,Pike Lake,7/15/2021,10,1,3,rc,Offshore,NA
PKEX102,Pike Lake,7/15/2021,10,1,1,rc,Offshore,NA
PKEX107,Pike Lake,7/15/2021,10,2,3,rc,Offshore,NA
PKEX107,Pike Lake,7/15/2021,10,2,1,rc,Offshore,NA
PKEX112,Pike Lake,7/15/2021,10,3,3,rc,Offshore,NA
PKEX112,Pike Lake,7/15/2021,10,3,1,rc,Offshore,NA
SHGX003,Shagawa Lake,8/2/2021,1,1,3,zm,Nearshore,NA
SHGX003,Shagawa Lake,8/2/2021,1,1,1,zm,Nearshore,NA
SHGX008,Shagawa Lake,8/2/2021,1,2,3,zm,Nearshore,NA
SHGX008,Shagawa Lake,8/2/2021,1,2,1,zm,Nearshore,NA
SHGX013,Shagawa Lake,8/2/2021,1,3,3,zm,Nearshore,NA
SHGX013,Shagawa Lake,8/2/2021,1,3,1,zm,Nearshore,NA
SHGX025,Shagawa Lake,8/2/2021,3,1,3,zm,Nearshore,NA
SHGX025,Shagawa Lake,8/2/2021,3,1,1,zm,Nearshore,NA
SHGX030,Shagawa Lake,8/2/2021,3,2,3,zm,Nearshore,NA
SHGX030,Shagawa Lake,8/2/2021,3,2,1,zm,Nearshore,NA
SHGX035,Shagawa Lake,8/2/2021,3,3,3,zm,Nearshore,NA
SHGX035,Shagawa Lake,8/2/2021,3,3,1,zm,Nearshore,NA
SHGX045,Shagawa Lake,8/2/2021,5,1,3,zm,Nearshore,NA
SHGX045,Shagawa Lake,8/2/2021,5,1,1,zm,Nearshore,NA
SHGX050,Shagawa Lake,8/2/2021,5,2,3,zm,Nearshore,NA
SHGX050,Shagawa Lake,8/2/2021,5,2,1,zm,Nearshore,NA
SHGX055,Shagawa Lake,8/2/2021,5,3,3,zm,Nearshore,NA
SHGX055,Shagawa Lake,8/2/2021,5,3,1,zm,Nearshore,NA
SHGX070,Shagawa Lake,8/3/2021,7,1,3,zm,Offshore,NA
SHGX070,Shagawa Lake,8/3/2021,7,1,1,zm,Offshore,NA
SHGX075,Shagawa Lake,8/3/2021,7,2,3,zm,Offshore,NA
SHGX075,Shagawa Lake,8/3/2021,7,2,1,zm,Offshore,NA
SHGX080,Shagawa Lake,8/3/2021,7,3,3,zm,Offshore,NA
SHGX080,Shagawa Lake,8/3/2021,7,3,1,zm,Offshore,NA
SHGX102,Shagawa Lake,8/3/2021,10,1,3,zm,Offshore,NA
SHGX102,Shagawa Lake,8/3/2021,10,1,1,zm,Offshore,NA
SHGX107,Shagawa Lake,8/3/2021,10,2,3,zm,Offshore,NA
SHGX107,Shagawa Lake,8/3/2021,10,2,1,zm,Offshore,NA
SHGX112,Shagawa Lake,8/3/2021,10,3,3,zm,Offshore,NA
SHGX112,Shagawa Lake,8/3/2021,10,3,1,zm,Offshore,NA
